,overall_ntrials,overall_ncorrect,overall_rt_mean,overall_rt_mean_outrmvd,overall_rt_outrmvd,overall_dprime,overall_criterion,overall_N,overall_S,overall_H,overall_F,load_3_ntrials,load_3_ncorrect,load_3_rt_mean,load_3_rt_mean_outrmvd,load_3_rt_outrmvd,load_3_dprime,load_3_criterion,load_3_N,load_3_S,load_3_H,load_3_F,load_4_ntrials,load_4_ncorrect,load_4_rt_mean,load_4_rt_mean_outrmvd,load_4_rt_outrmvd,load_4_dprime,load_4_criterion,load_4_N,load_4_S,load_4_H,load_4_F,load_5_ntrials,load_5_ncorrect,load_5_rt_mean,load_5_rt_mean_outrmvd,load_5_rt_outrmvd,load_5_dprime,load_5_criterion,load_5_N,load_5_S,load_5_H,load_5_F,k,g,group
4273,42.0,24.0,1122.95833333,1122.95833333,0.0,0.362697547842,-0.121631674135,21.0,21.0,13.0,10.0,14.0,7.0,651.428571429,651.428571429,0.0,0.0,-0.180012369793,7.0,7.0,4.0,4.0,14.0,6.0,1410.0,1410.0,0.0,-0.501621701945,-0.816759672906,7.0,7.0,5.0,6.0,14.0,11.0,1266.45454545,1266.45454545,0.0,1.71413291415,0.67705408728,7.0,7.0,4.0,0.0,0.571428571429,-0.454545454545,patient
4307,42.0,29.0,1206.96551724,1206.96551724,0.0,1.05615521904,0.348065239727,21.0,21.0,12.0,4.0,14.0,10.0,927.0,927.0,0.0,1.24758289367,0.443779077043,7.0,7.0,4.0,1.0,14.0,9.0,1169.0,1169.0,0.0,0.745961191726,0.19296822607,7.0,7.0,4.0,2.0,14.0,10.0,1521.1,1521.1,0.0,1.24758289367,0.443779077043,7.0,7.0,4.0,1.0,1.52380952381,-0.266666666667,control
4346,42.0,35.0,1720.17142857,1644.26470588,1.0,2.02161474918,-0.298364342198,21.0,21.0,19.0,5.0,14.0,13.0,1960.23076923,1960.23076923,0.0,2.60169106823,-0.233275010237,7.0,7.0,7.0,1.0,14.0,12.0,1439.25,1439.25,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,14.0,10.0,1745.2,1745.2,0.0,1.24758289367,-0.443779077043,7.0,7.0,6.0,3.0,2.66666666667,-0.217391304348,patient
4365,42.0,36.0,947.277777778,947.277777778,0.0,2.38083422634,-0.477974080779,21.0,21.0,20.0,5.0,14.0,14.0,912.928571429,912.928571429,0.0,3.06824108871,-0.0,7.0,7.0,7.0,0.0,14.0,11.0,948.181818182,948.181818182,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,14.0,11.0,990.090909091,990.090909091,0.0,1.71413291415,-0.67705408728,7.0,7.0,7.0,3.0,2.85714285714,-0.208333333333,control
4366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,patient
4367,42.0,25.0,2200.48,1758.375,1.0,0.490444399081,0.185505099755,21.0,21.0,11.0,7.0,14.0,10.0,1769.1,1769.1,0.0,1.24758289367,0.443779077043,7.0,7.0,4.0,1.0,14.0,9.0,2851.22222222,2851.22222222,0.0,0.745961191726,0.19296822607,7.0,7.0,4.0,2.0,14.0,6.0,1943.33333333,1943.33333333,0.0,-0.360024739585,6.93889390391e-17,7.0,7.0,3.0,4.0,0.761904761905,-0.411764705882,patient
4368,42.0,26.0,1961.96153846,1961.96153846,0.0,0.652725932604,0.386080066087,21.0,21.0,10.0,5.0,14.0,9.0,1720.11111111,1720.11111111,0.0,0.887558154085,0.623791446835,7.0,7.0,3.0,1.0,14.0,9.0,2058.88888889,2058.88888889,0.0,0.745961191726,0.19296822607,7.0,7.0,4.0,2.0,14.0,8.0,2125.0,2125.0,0.0,0.38593645214,0.372980595863,7.0,7.0,3.0,2.0,0.952380952381,-0.357142857143,patient
4369,42.0,30.0,842.066666667,842.066666667,0.0,1.14317033168,-0.140857866547,21.0,21.0,16.0,7.0,14.0,9.0,955.555555556,955.555555556,0.0,0.745961191726,-0.19296822607,7.0,7.0,5.0,3.0,14.0,10.0,765.2,765.2,0.0,1.13189764387,-0.0,7.0,7.0,5.0,2.0,14.0,11.0,819.090909091,819.090909091,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,1.71428571429,-0.318181818182,control
4370,42.0,28.0,2157.64285714,1697.51851852,1.0,0.892455402182,-0.266215331298,21.0,21.0,16.0,9.0,14.0,9.0,1357.77777778,1357.77777778,0.0,0.745961191726,-0.19296822607,7.0,7.0,5.0,3.0,14.0,8.0,1466.25,1466.25,0.0,0.38593645214,-0.372980595863,7.0,7.0,5.0,4.0,14.0,11.0,3314.90909091,3314.90909091,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,1.33333333333,-0.375,patient
4371,42.0,23.0,2220.52173913,2220.52173913,0.0,0.239729469578,-0.0601476350037,21.0,21.0,12.0,10.0,14.0,8.0,1602.625,1602.625,0.0,0.360024739585,6.93889390391e-17,7.0,7.0,4.0,3.0,14.0,6.0,3056.66666667,3056.66666667,0.0,-0.38593645214,-0.372980595863,7.0,7.0,4.0,5.0,14.0,9.0,2212.33333333,2212.33333333,0.0,0.745961191726,0.19296822607,7.0,7.0,4.0,2.0,0.380952380952,-0.47619047619,control
